id,topic,subtopic,case_context,additional_context,question,marks,acceptable_answers,feedback,generated_at
SAQ_883A6F00_Q1,A. Introduction to Medicine and Medical Science (IMMS),Genetics,"A 30-year-old couple attends a preconception genetic counselling session. They are concerned because both of their families have a history of a common autosomal recessive condition. The counsellor explains the molecular basis of inheritance, starting with the structure of DNA.",,"In the normal double-helix structure of DNA, name the two purine bases and identify their respective pyrimidine pairing partners.",2,"[""Adenine and Guanine; Adenine pairs with Thymine, Guanine pairs with Cytosine"", ""Purines: Adenine (A) and Guanine (G); Pairs: A-T and G-C"", ""Adenine pairs with Thymine; Guanine pairs with Cytosine""]","[Subtopic: Genetics] In DNA, the purines are Adenine and Guanine. According to Chargaff's rules for base pairing, Adenine (purine) always pairs with Thymine (pyrimidine) via two hydrogen bonds, and Guanine (purine) always pairs with Cytosine (pyrimidine) via three hydrogen bonds.",2026-05-16T10:19:16.920642
SAQ_883A6F00_Q2,A. Introduction to Medicine and Medical Science (IMMS),Genetics,"A 30-year-old couple attends a preconception genetic counselling session. They are concerned because both of their families have a history of a common autosomal recessive condition. The counsellor explains the molecular basis of inheritance, starting with the structure of DNA.",Genetic testing confirms that both the husband and wife are heterozygous carriers for the same autosomal recessive mutation.,"State the percentage probability that their first child will be a carrier of the condition, and the percentage probability that the child will be homozygous dominant (wild-type) for the gene.",2,"[""Carrier: 50%; Homozygous dominant: 25%"", ""50% carrier and 25% homozygous dominant"", ""50 percent carrier, 25 percent homozygous dominant""]","[Subtopic: Genetics] In an autosomal recessive inheritance pattern with two carrier parents (Aa x Aa), the offspring probabilities are: 25% homozygous dominant (AA), 50% heterozygous carriers (Aa), and 25% homozygous recessive/affected (aa).",2026-05-16T10:19:16.920651
SAQ_883A6F00_Q3,A. Introduction to Medicine and Medical Science (IMMS),ILA 1 - Cystic Fibrosis,"A 30-year-old couple attends a preconception genetic counselling session. They are concerned because both of their families have a history of a common autosomal recessive condition. The counsellor explains the molecular basis of inheritance, starting with the structure of DNA.","The counsellor discusses the ΔF508 mutation, which is the most common variant associated with the condition in their population. This mutation affects the processing of a chloride channel protein.","Identify the specific category of DNA mutation (e.g., substitution, deletion, insertion) that characterizes the ΔF508 variant and name the specific amino acid that is missing from the resulting polypeptide chain.",2,"[""Deletion; Phenylalanine"", ""3-base pair deletion; Phenylalanine"", ""Deletion of three nucleotides; Phenylalanine""]","[Subtopic: ILA 1 - Cystic Fibrosis] The ΔF508 mutation is a deletion of three nucleotides (CTT or AAA) which results in the loss of a single amino acid, Phenylalanine (F), at position 508 of the CFTR protein.",2026-05-16T10:19:16.920653
SAQ_883A6F00_Q4,A. Introduction to Medicine and Medical Science (IMMS),Energy metabolism / Biochemistry,"A 30-year-old couple attends a preconception genetic counselling session. They are concerned because both of their families have a history of a common autosomal recessive condition. The counsellor explains the molecular basis of inheritance, starting with the structure of DNA.",The CFTR protein must fold into a specific three-dimensional shape to function correctly as a transmembrane channel.,"Name the specific covalent bond that links amino acids together to form the primary structure of a protein, and name the two most common structural motifs found in the secondary structure of proteins.",2,"[""Peptide bond; Alpha helix and Beta-pleated sheet"", ""Peptide; alpha helices and beta sheets"", ""Peptide bond; alpha-helix and beta-sheet""]","[Subtopic: Energy metabolism / Biochemistry] Amino acids are joined by peptide bonds (covalent) in the primary structure. The secondary structure is characterized by local folding patterns, primarily the alpha helix and the beta-pleated sheet, stabilized by hydrogen bonding.",2026-05-16T10:19:16.920654
SAQ_883A6F00_Q5,A. Introduction to Medicine and Medical Science (IMMS),Cell biology,"A 30-year-old couple attends a preconception genetic counselling session. They are concerned because both of their families have a history of a common autosomal recessive condition. The counsellor explains the molecular basis of inheritance, starting with the structure of DNA.","Once successfully folded, the chloride channel protein is embedded into the plasma membrane to regulate ion movement.",Name the primary class of lipid that forms the structural bilayer of the cell membrane and state the descriptive term for a molecule that contains both a hydrophilic head and a hydrophobic tail.,2,"[""Phospholipid; Amphipathic"", ""Phospholipids; Amphiphilic"", ""Glycerophospholipids; Amphipathic""]","[Subtopic: Cell biology] The plasma membrane is primarily composed of a phospholipid bilayer. Molecules like phospholipids, which possess both a polar (hydrophilic) head and a non-polar (hydrophobic) tail, are described as amphipathic.",2026-05-16T10:19:16.920656
SAQ_57BBC505_Q1,B. Cardiovascular system,Anatomical features of the cardiovascular system,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.",,Name the cardiac chamber that forms the right border of the heart on a PA chest X-ray and the major venous vessel that enters its superior aspect.,2,"[""Right atrium and Superior vena cava"", ""Right atrium; Superior vena cava"", ""Right atrium and SVC"", ""Right atrium, SVC""]","[Subtopic: Anatomical features of the cardiovascular system] On a normal PA chest radiograph, the right border of the heart is formed by the right atrium. The superior vena cava enters the right atrium from above, carrying deoxygenated blood from the upper body.",2026-05-16T10:19:47.536595
SAQ_57BBC505_Q2,B. Cardiovascular system,Physiological features of the cardiovascular system,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.","During the physical examination, the athlete's resting blood pressure is measured at 120/75 mmHg.",Calculate this patient's mean arterial pressure (MAP) using the formula involving systolic and diastolic pressures. Include the correct units in your answer.,2,"[""90 mmHg"", ""90.0 mmHg"", ""90mm Hg""]",[Subtopic: Physiological features of the cardiovascular system] MAP is calculated as Diastolic Blood Pressure + 1/3(Pulse Pressure). Here: 75 + 1/3(120-75) = 75 + 15 = 90 mmHg.,2026-05-16T10:19:47.536603
SAQ_57BBC505_Q3,B. Cardiovascular system,Histology of the cardiovascular system,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.",The assessment includes a discussion on the efficiency of his cardiac muscle in comparison to skeletal muscle.,Cardiac myocytes are linked by specialized junctions called intercalated discs. Name the specific cell junction type within these discs that provides low-resistance electrical coupling between cells.,2,"[""Gap junctions"", ""Gap junction"", ""Nexuses""]","[Subtopic: Histology of the cardiovascular system] Intercalated discs contain desmosomes (for mechanical adhesion) and gap junctions. Gap junctions allow the rapid spread of action potentials between myocytes, enabling the heart to function as a functional syncytium.",2026-05-16T10:19:47.536605
SAQ_57BBC505_Q4,B. Cardiovascular system,Physiological features of the cardiovascular system,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.","A 12-lead electrocardiogram (ECG) is performed, showing a normal sinus rhythm with a heart rate of 60 beats per minute.",State the specific physiological event occurring in the heart that is represented by the QRS complex on the ECG.,1,"[""Ventricular depolarisation"", ""Ventricular depolarization"", ""Depolarisation of the ventricles""]",[Subtopic: Physiological features of the cardiovascular system] The QRS complex represents the rapid depolarisation of the right and left ventricles. This electrical event precedes ventricular contraction (systole).,2026-05-16T10:19:47.536606
SAQ_57BBC505_Q5,B. Cardiovascular system,Principle features of haematology,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.",A full blood count is taken as part of the health screen.,"Name the most abundant type of leucocyte (white blood cell) found in a normal adult blood film, which typically possesses a multi-lobed nucleus.",1,"[""Neutrophils"", ""Neutrophil"", ""Polymorphonuclear leucocytes"", ""PMNs""]",[Subtopic: Principle features of haematology] Neutrophils are the most numerous leucocytes in the blood (typically 40-75%). They are granulocytes characterized by a multi-lobed nucleus (usually 3-5 lobes).,2026-05-16T10:19:47.536607
SAQ_57BBC505_Q6,B. Cardiovascular system,Embryonic development of the heart and circulation,"A 25-year-old male athlete attends a sports physiology laboratory for a baseline assessment. As part of the assessment, a standard posteroanterior (PA) chest X-ray is reviewed to confirm normal heart size and position.",The athlete asks about how the heart develops before birth.,"Name the physiological opening in the fetal interatrial septum that allows blood to bypass the non-functional lungs, and name the shallow depression that persists in the adult heart after this opening closes.",2,"[""Foramen ovale and Fossa ovalis"", ""Foramen ovale; Fossa ovalis""]","[Subtopic: Embryonic development of the heart and circulation] The foramen ovale is a fetal shunt allowing blood to flow from the right atrium to the left atrium. After birth, it closes to become the fossa ovalis.",2026-05-16T10:19:47.536609
SAQ_ECC102A1_Q1,C. Respiratory system,Anatomical features of the respiratory system / thorax,A 22-year-old medical student participates in a respiratory physiology workshop. They are hooked up to a spirometer and then perform a series of exercise tests to observe changes in ventilation and lung function.,,Name the primary muscle of inspiration and state the specific spinal cord segments that provide its motor innervation via the phrenic nerve.,2,"[""Diaphragm; C3, C4, C5"", ""The diaphragm; C3-C5"", ""Diaphragm; C3, 4, 5""]","[Subtopic: Anatomical features of the respiratory system / thorax] The diaphragm is the most important muscle of inspiration. It is innervated by the phrenic nerves, which arise from the ventral rami of the C3, C4, and C5 spinal nerves ('C3, 4, 5 keep the diaphragm alive').",2026-05-16T10:20:15.547848
SAQ_ECC102A1_Q2,C. Respiratory system,Physiological features of the respiratory system,A 22-year-old medical student participates in a respiratory physiology workshop. They are hooked up to a spirometer and then perform a series of exercise tests to observe changes in ventilation and lung function.,"During the workshop, the student performs spirometry to measure various lung volumes and capacities. One capacity of interest is the volume of air remaining in the lungs after a normal, quiet expiration.","Identify the two specific static lung volumes that, when summed together, constitute the Functional Residual Capacity (FRC).",2,"[""Expiratory Reserve Volume and Residual Volume"", ""ERV and RV"", ""Expiratory Reserve Volume (ERV) and Residual Volume (RV)""]",[Subtopic: Physiological features of the respiratory system] Functional Residual Capacity (FRC) is the volume of air remaining in the lungs at the end of a passive expiration. It is the sum of the Expiratory Reserve Volume (the extra air that can be expired) and the Residual Volume (the air that cannot be expired).,2026-05-16T10:20:15.547859
SAQ_ECC102A1_Q3,C. Respiratory system,Physiological features of the respiratory system,A 22-year-old medical student participates in a respiratory physiology workshop. They are hooked up to a spirometer and then perform a series of exercise tests to observe changes in ventilation and lung function.,"The student then performs an exercise test on a treadmill, causing their ventilation rate to increase in response to metabolic demands.",Name the two anatomical locations where peripheral chemoreceptors are found that monitor changes in arterial blood gases and pH.,2,"[""Carotid bodies and Aortic bodies"", ""Carotid body and Aortic body"", ""The bifurcation of the common carotid arteries and the aortic arch""]",[Subtopic: Physiological features of the respiratory system] Peripheral chemoreceptors are located in the carotid bodies (at the bifurcation of the common carotid arteries) and the aortic bodies (in the aortic arch). They primarily detect decreases in PaO2 and increases in PaCO2 and H+ concentration.,2026-05-16T10:20:15.547861
