"id","topic","subtopic","question","options","correct_answer","feedback","generated_at"
"61666197","A. Introduction to Medicine and Medical Science (IMMS)","Genetics","A 24-year-old woman is identified as a carrier for an X-linked recessive mutation during family screening. Although she carries the mutation, she does not manifest any symptoms of the condition. This is explained by the physiological process of X-inactivation (Lyonisation), where one X chromosome is silenced in each somatic cell. Which of the following describes the condensed, inactive X chromosome visible under a light microscope during interphase?","{""A"": ""Barr body"", ""B"": ""Centromere"", ""C"": ""Euchromatin"", ""D"": ""Nucleolus"", ""E"": ""Telomere""}","A","A is correct because the Barr body is the highly condensed, transcriptionally inactive X chromosome found in the somatic cells of females, visible during interphase. B is incorrect as the centromere is the region joining two sister chromatids. C is incorrect because euchromatin refers to lightly packed, transcriptionally active DNA; the inactive X is heterochromatic. D is incorrect as the nucleolus is the site of ribosomal RNA synthesis. E is incorrect because telomeres are the repetitive DNA sequences located at the ends of chromosomes.","2026-05-16T09:21:38.010632"
"14251332","A. Introduction to Medicine and Medical Science (IMMS)","Cell biology","A 34-year-old woman is discussed in a clinical pharmacology seminar regarding the pharmacokinetics of lipid-soluble hormones such as cortisol. Due to their chemical structure, these hormones easily cross the phospholipid bilayer of the plasma membrane. Once inside the target cell, what is the most likely mechanism by which these steroid hormones exert their primary physiological effect?","{""A"": ""Binding to G-protein coupled receptors to activate adenylyl cyclase"", ""B"": ""Binding to intracellular receptors to regulate gene expression"", ""C"": ""Opening of ligand-gated ion channels to change membrane potential"", ""D"": ""Triggering the dimerisation of cell surface receptor tyrosine kinases"", ""E"": ""Using active transport to enter the mitochondria for ATP production""}","B","Steroid hormones are lipophilic and diffuse directly across the phospholipid bilayer of the plasma membrane. They bind to specific intracellular receptors (located in the cytoplasm or nucleus). The resulting hormone-receptor complex then acts as a transcription factor, binding to DNA to modulate the transcription of specific genes. Options A, D, and E describe mechanisms used by hydrophilic messengers (like peptide hormones) that cannot cross the membrane. Option C describes the action of certain neurotransmitters.","2026-05-16T09:22:46.550433"
"99044544","A. Introduction to Medicine and Medical Science (IMMS)","Energy metabolism / Biochemistry","A 22-year-old student is participating in a study on the physiological response to prolonged fasting. After 48 hours without food, their liver begins significantly increasing the production of ketone bodies (acetoacetate and beta-hydroxybutyrate) to support cerebral metabolism. Which of the following molecules is the primary substrate for the synthesis of these ketone bodies?","{""A"": ""Acetyl-CoA"", ""B"": ""Glucose-6-phosphate"", ""C"": ""Lactate"", ""D"": ""Oxaloacetate"", ""E"": ""Pyruvate""}","A","A is correct because during prolonged fasting, the liver undergoes extensive beta-oxidation of fatty acids, resulting in a high yield of Acetyl-CoA. Under these conditions, oxaloacetate (Option D) is preferentially used for gluconeogenesis to maintain blood glucose, which limits the capacity of the Krebs cycle to process the excess Acetyl-CoA; the surplus Acetyl-CoA is then used for ketogenesis. B is an intermediate of glycolysis and gluconeogenesis. C and E are precursors for gluconeogenesis rather than the direct building blocks for ketone body synthesis.","2026-05-16T09:23:53.446113"
"74471488","A. Introduction to Medicine and Medical Science (IMMS)","Embryo development from fertilisation to week 9","A 24-year-old woman presents to her GP for an initial consultation after a positive home pregnancy test. The GP explains the early stages of development, noting that during the third week of gestation, a critical process occurs where the bilaminar embryonic disc is converted into a trilaminar disc consisting of ectoderm, mesoderm, and endoderm. Which of the following processes is the GP describing?","{""A"": ""Cleavage"", ""B"": ""Gastrulation"", ""C"": ""Implantation"", ""D"": ""Neurulation"", ""E"": ""Organogenesis""}","B","B is correct. Gastrulation is the process occurring in week 3 where epiblast cells migrate through the primitive streak to form the three primary germ layers: ectoderm, mesoderm, and endoderm. A is incorrect because cleavage refers to the rapid mitotic divisions of the zygote immediately following fertilisation. C is incorrect as implantation describes the blastocyst embedding into the uterine wall, typically occurring in the first and second weeks. D is incorrect because neurulation is the subsequent process of forming the neural tube from the ectoderm. E is incorrect as organogenesis is the general term for the formation of organs and tissues from the germ layers, primarily occurring between weeks 3 and 8.","2026-05-16T09:24:59.652504"
"87276334","A. Introduction to Medicine and Medical Science (IMMS)","Cell histology and their ultrastructural components","A medical student is examining a histological slide of the human forearm. They identify a medium-sized blood vessel characterized by a very prominent, 'scalloped' internal elastic lamina and a thick tunica media composed almost entirely of concentric layers of smooth muscle cells, with relatively few elastic fibres. Which of the following vessels is most likely being observed?","{""A"": ""Arteriole"", ""B"": ""Capillary"", ""C"": ""Elastic artery"", ""D"": ""Muscular artery"", ""E"": ""Vein""}","D","D is correct because muscular (distributing) arteries are specifically characterized by a thick tunica media dominated by smooth muscle and a very distinct, often corrugated or 'scalloped' internal elastic lamina. A is incorrect because arterioles are much smaller and typically only have 1-2 layers of smooth muscle in their media. B is incorrect because capillaries consist only of a single layer of endothelial cells and a basement membrane, lacking a tunica media. C is incorrect because elastic (conducting) arteries, such as the aorta, have a tunica media dominated by fenestrated elastic lamellae rather than just smooth muscle. E is incorrect because veins have a much thinner tunica media, a less distinct internal elastic lamina, and often appear collapsed in histological sections.","2026-05-16T09:26:08.935890"
"15910274","A. Introduction to Medicine and Medical Science (IMMS)","Introduction to anatomical features of the human body","A 68-year-old man presents to his GP with a painful, vesicular rash localized to a narrow band of skin extending from his mid-back around to his sternum on the right side. This distribution corresponds to the cutaneous innervation provided by a single spinal nerve. What is the correct anatomical term for this specific area of skin?","{""A"": ""Dermatome"", ""B"": ""Fascia"", ""C"": ""Myotome"", ""D"": ""Nerve plexus"", ""E"": ""Spinal segment""}","A","A is correct because a dermatome is defined as the area of skin supplied by the sensory fibers of a single spinal nerve. B is incorrect because fascia is a layer of fibrous connective tissue that surrounds muscles or organs. C is incorrect because a myotome is the group of muscles innervated by the motor fibers of a single spinal nerve. D is incorrect because a nerve plexus is a complex network of intersecting nerves from multiple spinal levels (e.g., the brachial plexus). E is incorrect because a spinal segment refers to the portion of the spinal cord from which a specific pair of spinal nerves emerges, rather than the skin area it supplies.","2026-05-16T09:27:20.009275"
"57479394","A. Introduction to Medicine and Medical Science (IMMS)","ILA 1 - Cystic Fibrosis","A 2-week-old infant is diagnosed with Cystic Fibrosis after genetic testing confirms they are homozygous for the ΔF508 mutation. This mutation involves the deletion of three nucleotides, resulting in the loss of a phenylalanine residue at position 508 of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) protein. Which of the following best describes the physiological consequence of this specific mutation on the CFTR protein?","{""A"": ""A frameshift occurs, resulting in a completely different amino acid sequence downstream"", ""B"": ""The protein is translated but fails to fold correctly and is degraded in the endoplasmic reticulum"", ""C"": ""The protein is correctly trafficked to the cell membrane but cannot be activated by cAMP"", ""D"": ""Transcription is inhibited, meaning no mRNA is produced for translation"", ""E"": ""A premature stop codon is introduced, resulting in a truncated, non-functional protein""}","B","The ΔF508 mutation is a Class II mutation. Because three nucleotides (one full codon) are deleted, there is no frameshift (A is incorrect), but the loss of the phenylalanine residue causes the protein to misfold. The cell's quality control mechanisms recognise the misfolded protein and degrade it within the endoplasmic reticulum, preventing it from reaching the apical membrane (B is correct). Class III or IV mutations involve proteins that reach the membrane but don't function (C is incorrect). Class I mutations involve a lack of synthesis due to nonsense mutations or promoter issues (D and E are incorrect).","2026-05-16T09:28:26.400166"
"44386874","B. Cardiovascular system","Principle features of haematology","A 22-year-old woman accidentally cuts her finger with a kitchen knife. Hemostasis begins immediately to prevent excessive blood loss. During the platelet activation phase, several mediators are released or synthesized by the platelets. Which of the following substances is produced by activated platelets to primarily promote both further platelet aggregation and local vasoconstriction?","{""A"": ""Albumin"", ""B"": ""Antithrombin III"", ""C"": ""Plasminogen"", ""D"": ""Thromboxane A2"", ""E"": ""von Willebrand factor""}","D","D is correct because Thromboxane A2 (TXA2) is a prostaglandin derivative synthesized by activated platelets (via the cyclooxygenase pathway) that acts as a potent platelet aggregator and a powerful local vasoconstrictor. A is incorrect as albumin is the most abundant plasma protein, primarily responsible for maintaining intravascular colloid osmotic pressure. B is incorrect because Antithrombin III is a circulating anticoagulant that inhibits thrombin and other clotting factors. C is incorrect as plasminogen is the inactive precursor of plasmin, the enzyme responsible for fibrinolysis (clot breakdown). E is incorrect because while von Willebrand factor is involved in the clotting process, its primary physiological role is mediating platelet adhesion to the damaged subendothelial collagen, not vasoconstriction.","2026-05-16T09:29:38.061078"
"88112557","B. Cardiovascular system","Physiological features of the cardiovascular system","A 22-year-old medical student is participating in a sports physiology lab. As she transitions from rest to moderate exercise on a treadmill, her cardiac output increases. According to the Frank-Starling law of the heart, which of the following best describes the intrinsic physiological mechanism responsible for increasing her stroke volume in response to an increased end-diastolic volume?","{""A"": ""Increased sympathetic nerve activity increasing calcium influx via L-type channels"", ""B"": ""Increased stretch of ventricular myocytes leading to increased sensitivity of troponin C to calcium"", ""C"": ""Decreased peripheral resistance allowing for easier ventricular emptying"", ""D"": ""Increased parasympathetic tone slowing the heart rate to allow more filling time"", ""E"": ""Activation of the Bainbridge reflex via atrial stretch receptors""}","B","B is correct because the Frank-Starling law refers to the intrinsic ability of the heart to increase its force of contraction (and thus stroke volume) in response to an increase in venous return (end-diastolic volume). The underlying molecular mechanism involves increased stretch of the sarcomeres, which increases the sensitivity of troponin C to calcium and optimizes actin-myosin cross-bridge formation. A is incorrect because it describes an extrinsic (sympathetic) ionotropic effect, not the Frank-Starling law. C is incorrect because it describes a change in afterload. D is incorrect because parasympathetic tone decreases during exercise. E is incorrect because the Bainbridge reflex primarily affects heart rate rather than the force of ventricular contraction.","2026-05-16T09:30:45.204650"
"19529975","B. Cardiovascular system","Embryonic development of the heart and circulation","A neonatal paediatrician is performing a cardiovascular examination on a newborn infant. They recall that the adult configuration of the great vessels results from the selective regression and persistence of the embryonic aortic arches. In normal development, which of the following structures is derived from the left fourth embryonic aortic arch?","{""A"": ""Arch of the aorta"", ""B"": ""Common carotid artery"", ""C"": ""Ductus arteriosus"", ""D"": ""Internal carotid artery"", ""E"": ""Pulmonary artery""}","A","A is correct because the left fourth aortic arch contributes to the formation of the segment of the definitive arch of the aorta (between the left common carotid and left subclavian arteries). B and D are incorrect because the third aortic arches form the common carotid and proximal part of the internal carotid arteries. C and E are incorrect because the sixth aortic arches (pulmonary arches) give rise to the proximal pulmonary arteries and, on the left, the ductus arteriosus.","2026-05-16T09:31:50.247243"
